Unnamed: 0,set_export_cert,set_export_cert_num,set_export_cert_date,set_export_item,set_export_quant,set_export_weight,set_ica_letter,set_import_cert,set_import_cert_date,set_import_item,set_import_quant,set_import_unit,set_quantity_used,set_sheet_name,imp_certificate,imp_supplier_name,imp_weight,imp_weight_unit,imp_quantity,imp_quantity_unit,imp_customs_system,imp_origin,imp_shipping_port,imp_port_entry_date,imp_certificate_date,imp_factory_entry_date,imp_container_packages,imp_container_type,imp_container_package_count,imp_port_stay_duration,imp_release_time,imp_inspection_rate,imp_inspection_type,imp_item_type,imp_invoice_value_usd,imp_final_value,imp_exchange_rate,imp_converted_invoice_value,imp_invoice_final_value_difference,imp_guarantee_type,imp_guarantee_value,imp_guarantee_submission_date,imp_window_fees,imp_customs_fees_and_taxes,imp_branching,imp_unofficial_clearance_fees,imp_ground_fees,imp_additional_ground_fees_usd,imp_avg_black_market_usd_rate,imp_additional_ground_fees_egp,imp_other_receipts,imp_total_collected_value_egp,imp_shipping_line,imp_display_entities,imp_display_entity_count,imp_display_entity_cost,imp_display_entity_time,imp_transportation,imp_total_paid,imp_shipping_type,imp_port_airport,imp_shipping_terms,exp_Unnamed: 0,exp_cert,exp_item_count,exp_items,exp_qty_per_piece,exp_avg_price_per_piece,exp_currency,exp_source_name,exp_net_weight_actual,exp_customs_system,exp_destination_country,exp_port_of_loading,exp_invoice_date,exp_entry_date,exp_Column1,exp_movement_visa_date,exp_inspection_result,exp_item_type,exp_invoice_value_actual,exp_shipment_type,exp_shipping_terms,exp_product_type,exp_country_group,exp_cert_num,imp_total_release_time
184,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,61,10-05-2023,كرتون,15108.0,قطعة,2231.0,Sheet2,61,Charminhg,11456.0,كيلو جرام,11366,كرتونة,سماح مؤقت,Israel,Al-Ouja,2023-05-10,2023-05-10,2023-05-13,Parcels,0.0,30,3,3,1.0,Red,cardboard,27771.66,868288.06,30.9557,859691.175462,8596.8845380001,منشأة,100000,2023-05-11 00:00:00,0.0,868288.0,0.0,2640,0.0,0.0,0.0,0.0,540,971468.0,Air / Land,زراعة,1,190,0,745,972403.0,Road,Arish,DDU,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,6
185,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,92436,06-05-2023,عليقة بلاستيك,65899.0,قطعة,273304.0,Sheet2,92436,Manohar,95.0,كيلو جرام,296626,قطعة,سماح مؤقت,India,Indira Gandhi International,2023-05-05,2023-05-06,2023-05-07,Parcels,0.0,8,2,1,1.0,Red A,label,3821.81,149000.0,30.9557,118306.803817,30693.19618300001,منشأة,14000,2023-05-06 00:00:00,3345.2,2080.0,1288.2,670,1259.7,0.0,0.0,0.0,0,22643.1,Air / Land,No-Display,0,0,0,560,23203.1,Air,Cairo,EXFACTORY,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,3
186,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,179023,14/05/2022,ELASTOSIL -KHD,17913.0,كجم,11.2554,Sheet2,179023,Avco,19080.0,كيلو جرام,18000,قطعة,سماح مؤقت,Israel,Ashdod,2022-04-28,2022-05-14,2022-05-17,Container,20.0,1,19,3,1.0,Red B,dyes,42480.0,728000.0,17.0,722160.0,5840.0,منشأة,85000,2022-05-15 00:00:00,3592.15,7890.2,6425.1,1825,6627.39,12.0,18.0,216.0,4945,116520.84,B&G,No-Display,0,1555,0,8610,126685.84,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,22
187,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,179982,15/05/2022,GENCEL HEBPL CONC LIQUID,12706.5,كجم,3.00144,Sheet2,179982,Rossari Biotech Limted,15316.7,كيلو جرام,14400,كيلو جرام,سماح مؤقت,India,Hazira,2022-05-07,2022-05-15,2022-05-21,Container,20.0,1,14,6,1.0,Red,dyes,44641.0,800000.0,17.0,758897.0,41103.0,منشأة,70000,2022-05-16 00:00:00,3393.65,8578.7,941.0,2325,5637.63,605.0,18.0,10890.0,431,102196.98,MSC,مخدرات- كيمياء,2,4075,0,8500,114771.98,Sea,Ain Sokhna,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,20
188,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,268527,26/07/2022,POLYQUEST 1096 N,11000.0,كجم,17.408352,Sheet2,268527,Avco,21929.0,كيلو جرام,20120,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-14,2022-07-26,2022-08-10,Container,20.0,1,27,15,1.0,Red B,dyes,45579.8,872300.0,18.9884,865487.47432,6812.525679999962,منشأة,115000,2022-07-27 00:00:00,7675.0,9333.2,7180.0,2725,10841.0,754.5,0.0,0.0,645,153399.2,B&G,زراعة- كيمياء ,2,4355,0,8520,166274.2,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,42
189,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,268527,26/07/2022,EULYSIN -SI,796.12,كجم,9.00432,Sheet2,268527,Avco,21929.0,كيلو جرام,20120,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-14,2022-07-26,2022-08-10,Container,20.0,1,27,15,1.0,Red B,dyes,45579.8,872300.0,18.9884,865487.47432,6812.525679999962,منشأة,115000,2022-07-27 00:00:00,7675.0,9333.2,7180.0,2725,10841.0,754.5,0.0,0.0,645,153399.2,B&G,زراعة- كيمياء ,2,4355,0,8520,166274.2,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,42
190,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,290936,10/08/2022,REDUCTON,13623.85,كجم,20.860008,Sheet2,290936,Avco,16240.0,كيلو جرام,14000,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-28,2022-08-10,2022-08-24,Container,20.0,1,27,14,1.0,Red B,dyes,64260.0,1239900.0,19.19,1233149.4,6750.59999999986,منشأة,150000,2023-08-11 00:00:00,2835.6,13009.2,8268.63,3475,24371.49,20.9,38.0,794.1999999999999,5565,208319.12,B&G,مخابرات -  زراعة-  كيمياء- مفرقعات,4,2905,17,8550,219774.12,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,41
191,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,285386,07/08/2022,IMPROZYM PK,3960.4,كجم,2.25108,Sheet2,285386,B&E International Ltd,15000.0,كيلو جرام,14000,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-28,2022-08-07,2022-08-17,Container,20.0,1,20,10,1.0,Red B,dyes,28900.0,558800.0,19.1784,554255.76,4544.239999999991,منشأة,70000,2022-08-08 00:00:00,4449.0,6498.2,7078.0,2725,6628.0,177.0,0.0,0.0,645,98023.2,B&G,مخابرات -  زراعة-  كيمياء- مفرقعات,4,4705,0,8750,111478.2,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,30
192,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,285386,07/08/2022,IMPROLUBE AD,6000.0,كجم,37.518,Sheet2,285386,B&E International Ltd,15000.0,كيلو جرام,14000,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-28,2022-08-07,2022-08-17,Container,20.0,1,20,10,1.0,Red B,dyes,28900.0,558800.0,19.1784,554255.76,4544.239999999991,منشأة,70000,2022-08-08 00:00:00,4449.0,6498.2,7078.0,2725,6628.0,177.0,0.0,0.0,645,98023.2,B&G,مخابرات -  زراعة-  كيمياء- مفرقعات,4,4705,0,8750,111478.2,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,30
193,1988,1988_4,29-05-2023,تى شيرت رجالى 100 % قطن,9714,1500.72,9/190,285386,07/08/2022,IMPROWASH PLY,3199.1068,كجم,30.0144,Sheet2,285386,B&E International Ltd,15000.0,كيلو جرام,14000,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-28,2022-08-07,2022-08-17,Container,20.0,1,20,10,1.0,Red B,dyes,28900.0,558800.0,19.1784,554255.76,4544.239999999991,منشأة,70000,2022-08-08 00:00:00,4449.0,6498.2,7078.0,2725,6628.0,177.0,0.0,0.0,645,98023.2,B&G,مخابرات -  زراعة-  كيمياء- مفرقعات,4,4705,0,8750,111478.2,Sea,Alexandria,CIF,17,1988,6,تى شيرت رجالى 100 % قطن,9714,2.7,usd,شركة جيزة للغزل والنسيج,1500.72,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,26713.5,sean,FOB,Shirt,Turkey,1988_4,30
194,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,139876,2023-04-16 00:00:00,ريب 95 % قطن 5 % ليكرا,95.08000000000001,كجم,59.73,Sheet2,139876,Tiv Textile,14859.1,كيلو جرام,620,رول,سماح مؤقت,Israel,Haifa,2023-04-13,2023-04-16,2023-04-26,Container,40.0,1,13,10,0.1,Red A,fabric,69673.78,2305338.42,30.9557,2156800.631546,148537.7884539999,بنكي ومنشأة,385000,2023-04-18 00:00:00,4460.0,23164.88,17301.0,2725,14077.0,24.0,34.0,816.0,1285,448828.88,B&G,No-Display,0,0,0,8480,457308.88,Sea,Alexandria,CIF,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,23
195,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,196175,2023-05-29 00:00:00,ريب 95 % قطن 5 % ليكرا,490.8,كجم,550.0,Sheet2,196175,Tiv Textile,10822.2,كيلو جرام,777,رول,سماح مؤقت,Israel,Haifa,2023-05-25,2023-05-29,2023-06-03,Container,40.0,1,9,5,0.1,Red A,fabric,84486.39,2792609.018,30.9563,2615386.034757,177222.9832430002,بنكي ومنشأة,500000,2023-05-31 00:00:00,5446.0,28037.0,17347.79,2725,8056.95,24.0,34.0,816.0,1285,563713.74,B&G,No-Display,0,0,0,8450,572163.74,Sea,Alexandria,CIF,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,14
196,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,29972,2023-01-21 00:00:00,حشو 100% بوليستر,60213.0,متر,15988.31,Sheet2,29972,Haama-Ltd,1819.9,كيلو جرام,325,رول,سماح مؤقت,Israel,Haifa,2023-01-20,2023-01-21,2023-01-25,Container,20.0,1,5,4,1.0,Red A,fabric,21450.0,660500.0,29.8897,641134.0650000001,19365.93499999994,بنكي,110000,2023-01-22 00:00:00,4460.0,9627.5,8044.0,3075,1940.0,0.0,0.0,0.0,8872,146018.5,egymar,No-Display,0,0,0,8400,154418.5,Sea,Dekhila,c&f,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,9
197,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,61,10-05-2023,كرتون,15108.0,قطعة,2231.0,Sheet2,61,Charminhg,11456.0,كيلو جرام,11366,كرتونة,سماح مؤقت,Israel,Al-Ouja,2023-05-10,2023-05-10,2023-05-13,Parcels,0.0,30,3,3,1.0,Red,cardboard,27771.66,868288.06,30.9557,859691.175462,8596.8845380001,منشأة,100000,2023-05-11 00:00:00,0.0,868288.0,0.0,2640,0.0,0.0,0.0,0.0,540,971468.0,Air / Land,زراعة,1,190,0,745,972403.0,Road,Arish,DDU,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,6
198,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,92436,06-05-2023,عليقة بلاستيك,65899.0,قطعة,273304.0,Sheet2,92436,Manohar,95.0,كيلو جرام,296626,قطعة,سماح مؤقت,India,Indira Gandhi International,2023-05-05,2023-05-06,2023-05-07,Parcels,0.0,8,2,1,1.0,Red A,label,3821.81,149000.0,30.9557,118306.803817,30693.19618300001,منشأة,14000,2023-05-06 00:00:00,3345.2,2080.0,1288.2,670,1259.7,0.0,0.0,0.0,0,22643.1,Air / Land,No-Display,0,0,0,560,23203.1,Air,Cairo,EXFACTORY,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,3
199,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,268527,26/07/2022,POLYQUEST 1096 N,11000.0,كجم,109.631136,Sheet2,268527,Avco,21929.0,كيلو جرام,20120,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-14,2022-07-26,2022-08-10,Container,20.0,1,27,15,1.0,Red B,dyes,45579.8,872300.0,18.9884,865487.47432,6812.525679999962,منشأة,115000,2022-07-27 00:00:00,7675.0,9333.2,7180.0,2725,10841.0,754.5,0.0,0.0,645,153399.2,B&G,زراعة- كيمياء ,2,4355,0,8520,166274.2,Sea,Alexandria,CIF,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,42
200,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,290936,10/08/2022,REDUCTON,13623.85,كجم,131.368344,Sheet2,290936,Avco,16240.0,كيلو جرام,14000,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-28,2022-08-10,2022-08-24,Container,20.0,1,27,14,1.0,Red B,dyes,64260.0,1239900.0,19.19,1233149.4,6750.59999999986,منشأة,150000,2023-08-11 00:00:00,2835.6,13009.2,8268.63,3475,24371.49,20.9,38.0,794.1999999999999,5565,208319.12,B&G,مخابرات -  زراعة-  كيمياء- مفرقعات,4,2905,17,8550,219774.12,Sea,Alexandria,CIF,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,41
201,1988,1988_5,29-05-2023,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,9450.96,9/568,285386,07/08/2022,IMPROWASH PLY,3199.1068,كجم,189.0192,Sheet2,285386,B&E International Ltd,15000.0,كيلو جرام,14000,قطعة,سماح مؤقت,Israel,Ashdod,2022-07-28,2022-08-07,2022-08-17,Container,20.0,1,20,10,1.0,Red B,dyes,28900.0,558800.0,19.1784,554255.76,4544.239999999991,منشأة,70000,2022-08-08 00:00:00,4449.0,6498.2,7078.0,2725,6628.0,177.0,0.0,0.0,645,98023.2,B&G,مخابرات -  زراعة-  كيمياء- مفرقعات,4,4705,0,8750,111478.2,Sea,Alexandria,CIF,18,1988,6,تى شيرت رجالى 95 % قطن 5 % ليكرا,61042,2.8,usd,شركة جيزة للغزل والنسيج,9450.96,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,170917.6,sean,FOB,Shirt,Turkey,1988_5,30
202,1988,1988_6,29-05-2023,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2782.77,3/393,145063,2023-04-26 00:00:00,غزل 100% قطن ,66690.0,كجم,2459.19,Sheet2,145063,Nitin,71106.0,كيلو جرام,1425,كرتونة,سماح مؤقت,India,Mundra,2023-04-20,2023-04-26,2023-05-01,Container,40.0,3,11,5,1.0,Red A,yarn,244530.0,8606631.225,30.9557,7569597.321,1037033.903999999,منشأة,520000,2023-04-30 00:00:00,4409.8,86607.81,0.0,6725,57719.0,122.0,34.0,4148.0,940,680549.6100000001,Hapag-Lloyd,No-Display,0,0,0,1250,681799.6100000001,Sea,Dumiat,CIF,19,1988,6,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2.8,usd,شركة جيزة للغزل والنسيج,2782.77,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,50461.6,sean,FOB,Shirt,Turkey,1988_6,16
203,1988,1988_6,29-05-2023,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2782.77,3/393,29972,2023-01-21 00:00:00,حشو 100% بوليستر,60213.0,متر,15988.31,Sheet2,29972,Haama-Ltd,1819.9,كيلو جرام,325,رول,سماح مؤقت,Israel,Haifa,2023-01-20,2023-01-21,2023-01-25,Container,20.0,1,5,4,1.0,Red A,fabric,21450.0,660500.0,29.8897,641134.0650000001,19365.93499999994,بنكي,110000,2023-01-22 00:00:00,4460.0,9627.5,8044.0,3075,1940.0,0.0,0.0,0.0,8872,146018.5,egymar,No-Display,0,0,0,8400,154418.5,Sea,Dekhila,c&f,19,1988,6,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2.8,usd,شركة جيزة للغزل والنسيج,2782.77,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,50461.6,sean,FOB,Shirt,Turkey,1988_6,9
204,1988,1988_6,29-05-2023,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2782.77,3/393,61,10-05-2023,كرتون,15108.0,قطعة,2231.0,Sheet2,61,Charminhg,11456.0,كيلو جرام,11366,كرتونة,سماح مؤقت,Israel,Al-Ouja,2023-05-10,2023-05-10,2023-05-13,Parcels,0.0,30,3,3,1.0,Red,cardboard,27771.66,868288.06,30.9557,859691.175462,8596.8845380001,منشأة,100000,2023-05-11 00:00:00,0.0,868288.0,0.0,2640,0.0,0.0,0.0,0.0,540,971468.0,Air / Land,زراعة,1,190,0,745,972403.0,Road,Arish,DDU,19,1988,6,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2.8,usd,شركة جيزة للغزل والنسيج,2782.77,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,50461.6,sean,FOB,Shirt,Turkey,1988_6,6
205,1988,1988_6,29-05-2023,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2782.77,3/393,92436,06-05-2023,عليقة بلاستيك,65899.0,قطعة,273304.0,Sheet2,92436,Manohar,95.0,كيلو جرام,296626,قطعة,سماح مؤقت,India,Indira Gandhi International,2023-05-05,2023-05-06,2023-05-07,Parcels,0.0,8,2,1,1.0,Red A,label,3821.81,149000.0,30.9557,118306.803817,30693.19618300001,منشأة,14000,2023-05-06 00:00:00,3345.2,2080.0,1288.2,670,1259.7,0.0,0.0,0.0,0,22643.1,Air / Land,No-Display,0,0,0,560,23203.1,Air,Cairo,EXFACTORY,19,1988,6,تى شيرت رجالى 57 % قطن 38 % بوليستر 5 % ليكرا,18022,2.8,usd,شركة جيزة للغزل والنسيج,2782.77,سماح مؤقت,تركيا,Alexandria,2023-05-31 00:00:00,2023-05-29,,2023-07-25,2023-06-03,ملابس جاهزة,50461.6,sean,FOB,Shirt,Turkey,1988_6,3
